0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:16 +0530] "GET /Diag_24_10_2016/ HTTP/1.1" 200 52590
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:17 +0530] "GET /Diag_24_10_2016/images/b1.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:17 +0530] "GET /Diag_24_10_2016/images/b2.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:17 +0530] "GET /Diag_24_10_2016/images/slideshow/b16.jpg HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:17 +0530] "GET /Diag_24_10_2016/images/a4jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:17 +0530] "GET /Diag_24_10_2016/images/slideshow/a5.jpg HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:17 +0530] "GET /Diag_24_10_2016/images/slideshow/b1.jpg HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:17 +0530] "GET /Diag_24_10_2016/images/slideshow/b9.jpeg HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:17 +0530] "GET /Diag_24_10_2016/images/b1.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:19 +0530] "GET /Diag_24_10_2016/images/b2.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:21 +0530] "GET /Diag_24_10_2016/images/b2.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:41 +0530] "GET /Diag_24_10_2016/images/slideshow/b16.jpg HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:43 +0530] "GET /Diag_24_10_2016/images/slideshow/b16.jpg HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:46 +0530] "GET /Diag_24_10_2016/epra.jsp HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:46 +0530] "GET /Diag_24_10_2016/images/wal.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:54 +0530] "GET /Diag_24_10_2016/images/b2.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:54 +0530] "GET /Diag_24_10_2016/images/b2.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:44:56 +0530] "GET /Diag_24_10_2016/images/b2.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:06 +0530] "GET /Diag_24_10_2016/login.jsp HTTP/1.1" 200 3606
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:10 +0530] "GET /Diag_24_10_2016/log.jsp?uname=&pas= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:12 +0530] "GET /Diag_24_10_2016/fail.jsp HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:16 +0530] "GET /Diag_24_10_2016/login.jsp HTTP/1.1" 200 3606
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:25 +0530] "GET /Diag_24_10_2016/log.jsp?uname=admin&pas=admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:25 +0530] "GET /Diag_24_10_2016/index.jsp HTTP/1.1" 200 52590
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:25 +0530] "GET /Diag_24_10_2016/images/b1.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:25 +0530] "GET /Diag_24_10_2016/images/b2.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:25 +0530] "GET /Diag_24_10_2016/images/slideshow/b16.jpg HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:25 +0530] "GET /Diag_24_10_2016/images/a4jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:25 +0530] "GET /Diag_24_10_2016/images/slideshow/a5.jpg HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:25 +0530] "GET /Diag_24_10_2016/images/slideshow/b1.jpg HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:25 +0530] "GET /Diag_24_10_2016/images/slideshow/b9.jpeg HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:25 +0530] "GET /Diag_24_10_2016/images/b1.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:27 +0530] "GET /Diag_24_10_2016/images/b2.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:28 +0530] "GET /Diag_24_10_2016/images/b2.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:47 +0530] "GET /Diag_24_10_2016/images/slideshow/b16.jpg HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [16/Feb/2017:13:45:49 +0530] "GET /Diag_24_10_2016/images/slideshow/b16.jpg HTTP/1.1" 404 1031
